1, 1, 1, 112, 1, 1, 448, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 1, 1, 112, 1, 1, 448, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 1, 1, 112, 1, 1, 448, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 1, 1, 112, 1, 1, 896, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 1, 1, 112, 1, 1, 896, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 1, 1, 112, 1, 1, 896, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 1, 1, 2016, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 1, 1, 2016, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 1, 1, 2016, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 30, 46, 2016, 1, 1, 2016, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 30, 46, 2016, 1, 1, 2016, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 30, 46, 2016, 1, 1, 2016, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 30, 46, 2016, 1, 1, 4096, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 30, 46, 2016, 1, 1, 4096, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 30, 46, 2016, 1, 1, 4096, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 1, 1, 224, 1, 1, 2016, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 1, 1, 224, 1, 1, 2016, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 1, 1, 224, 1, 1, 2016, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 1, 1, 224, 1, 1, 56, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 1, 1, 224, 1, 1, 56, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 1, 1, 224, 1, 1, 56, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 1, 1, 224, 1, 1, 8, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 1, 1, 224, 1, 1, 8, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 1, 1, 224, 1, 1, 8, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 1, 1, 224, 1, 1, 896, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 1, 1, 224, 1, 1, 896, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 1, 1, 224, 1, 1, 896, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 235, 362, 224, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 235, 362, 224, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 235, 362, 224, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 235, 362, 224, 1, 1, 448, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 235, 362, 224, 1, 1, 448, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 235, 362, 224, 1, 1, 448, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 235, 362, 224, 1, 1, 448, 2, 2, conv_2d_nchw_fchw, bf16, f32
1, 235, 362, 224, 1, 1, 448, 2, 2, conv_2d_nchw_fchw, bf16, f32
1, 235, 362, 224, 1, 1, 448, 2, 2, conv_2d_nchw_fchw, bf16, f32
1, 235, 363, 224, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 235, 363, 224, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 235, 363, 224, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 235, 363, 224, 1, 1, 448, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 235, 363, 224, 1, 1, 448, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 235, 363, 224, 1, 1, 448, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 235, 363, 224, 1, 1, 448, 2, 2, conv_2d_nchw_fchw, bf16, f32
1, 235, 363, 224, 1, 1, 448, 2, 2, conv_2d_nchw_fchw, bf16, f32
1, 235, 363, 224, 1, 1, 448, 2, 2, conv_2d_nchw_fchw, bf16, f32
1, 938, 1448, 3, 3, 3, 32, 2, 2, conv_2d_nchw_fchw, bf16, f32
