index,tag,name,M,N,K,dtype,A,B,mean_microseconds,arithmetic_intensity,tflops,ok
0,unet,hipblaslt,128,1280,2048,fp16,N,T,13.582600000000001,110.10752688172043,49.40796607424204,True
1,gpt4memory,hipblaslt,16,8192,1024,fp16,N,N,8.714709999999998,15.723608445297504,30.802568989673784,True
2,unet,hipblaslt,8192,5120,640,fp16,N,N,120.56936,531.9480519480519,445.2797228085145,True
3,llama70bskinnybf16,hipblaslt,8192,8,4096,bf16,T,N,19.40032,7.976630963972736,27.67330188368027,True
4,llama70bskinnybf16,hipblaslt,16000,16,8192,bf16,T,N,51.39781,15.952889124304788,81.6047220688975,True
5,llama13bskinnybf16,hipblaslt,16000,2,5120,bf16,T,N,32.46052,1.998969281464245,10.09472429893298,True
6,llama70bskinnybf16,hipblaslt,7168,32,8192,bf16,T,N,45.27139,31.73436635307139,83.01261313160477,True
7,gpt4memory,hipblaslt,16,8192,65536,fp16,N,N,266.32115000000005,15.964920828258222,64.50809176815284,True
8,llama13bskinnybf16,hipblaslt,27648,8,5120,bf16,T,N,60.931760000000004,7.985212569316081,37.17148757889153,True
9,llama70bmatvecbf16,hipblaslt,8192,1,28672,bf16,T,N,154.59711,0.9998430770840235,3.0386211488688244,True
10,llama13bskinny,hipblaslt,16000,8,5120,fp16,T,N,33.57658,7.983533961205015,39.036733342109294,True
11,llama70bmatvecbf16,hipblaslt,32000,1,8192,bf16,T,N,154.84644,0.9998467031910147,3.385857627724603,True
12,gpt4memory,hipblaslt,16,8192,8192,fp16,N,N,30.79832,15.937743190661479,69.727298372119,True
13,llama70bskinny,hipblaslt,8192,16,2048,fp16,T,N,9.47458,15.845261121856867,56.664349448735464,True
14,llama70bmatvec,hipblaslt,2560,1,8192,fp16,T,N,14.79364,0.9994875674092872,2.8352075621686077,True
15,llama70bskinnybf16,hipblaslt,5120,2,8192,bf16,T,N,24.256349999999998,1.998731274093593,6.9166284292566695,True
16,llama13bskinny,hipblaslt,5120,8,2560,fp16,T,N,9.62893,7.962674961119752,21.779699301999287,True
17,llama70bskinnybf16,hipblaslt,8192,8,28672,bf16,T,N,154.43089,7.989967953183782,24.33513388416009,True
18,llama70bskinny,hipblaslt,14336,32,8192,fp16,T,N,67.0463,31.804769828064337,112.10451237428464,True
19,llama70bskinnybf16,hipblaslt,8192,16,3584,bf16,T,N,14.40183,15.897976157471582,65.23643842483906,True
20,llama70bskinny,hipblaslt,8192,16,4096,fp16,T,N,17.22759,15.906796116504854,62.32687357895097,True
21,llama13bskinnybf16,hipblaslt,16000,4,5120,bf16,T,N,32.994800000000005,3.9958792495239286,19.86252379162777,True
22,llama70bskinny,hipblaslt,7168,32,8192,fp16,T,N,44.41655,31.73436635307139,84.61027216206571,True
23,llama70bmatvec,hipblaslt,10240,1,8192,fp16,T,N,34.39581,0.9997803217066562,4.877691788621928,True
24,llama70bskinnybf16,hipblaslt,8192,16,14336,bf16,T,N,45.90065,15.95104311543811,81.8745787695817,True
25,llama13bskinny,hipblaslt,27648,2,5120,fp16,T,N,60.041290000000004,1.999074502545118,9.430694110669506,True
26,llama70bskinny,hipblaslt,8192,32,8192,fp16,T,N,42.27942,31.751937984496124,101.58529364877758,True
27,llama13bskinny,hipblaslt,13824,2,5120,fp16,T,N,27.79447,1.9989299709356971,10.186037726209566,True
28,llama70bmatvec,hipblaslt,16000,1,8192,fp16,T,N,57.02557,0.9998154637474138,4.596955365812214,True
29,unet,hipblaslt,2048,10240,1280,bf16,N,N,94.15214999999999,731.4285714285714,570.2163062659749,True
30,llama70bmatvec,hipblaslt,5120,1,8192,fp16,T,N,25.360529999999997,0.9996827178873893,3.3077415968830306,True
31,gpt4memory,hipblaslt,16,16,8192,fp16,N,N,5.72274,7.9921951219512195,0.7329188465665049,True
32,llama70bskinnybf16,hipblaslt,1280,32,8192,bf16,T,N,10.72123,31.100987091875474,62.59437023550469,True
33,llama13bskinny,hipblaslt,5120,8,1280,fp16,T,N,6.57759,7.937984496124031,15.94164428004786,True
34,llama70bskinny,hipblaslt,8192,16,14336,fp16,T,N,46.387449999999994,15.95104311543811,81.01536911384439,True
35,llama70bskinnybf16,hipblaslt,4000,16,8192,bf16,T,N,23.935779999999998,15.905313679501717,43.8078892770572,True
36,compute,hipblaslt,4096,4096,8192,fp16,N,T,352.67280999999997,1638.4,779.4133801922525,True
37,llama70bskinnybf16,hipblaslt,16000,4,8192,bf16,T,N,52.60885,3.997049053628376,19.931551440489578,True
38,llama70bskinnybf16,hipblaslt,28672,2,8192,bf16,T,N,138.44996,1.999372406819846,6.786019266455548,True
39,llama70bskinnybf16,hipblaslt,14336,8,8192,bf16,T,N,46.4943,7.987742025351721,40.41459258446734,True
40,llama13bskinny,hipblaslt,13824,32,5120,fp16,T,N,42.46939,31.728253385356897,106.66148772092089,True
41,llama70bskinnybf16,hipblaslt,8192,2,8192,bf16,T,N,29.99097,1.9990239141044412,8.95054264666998,True
42,llama13bskinny,hipblaslt,5120,8,640,fp16,T,N,6.078930000000001,7.889060092449923,8.624675724181722,True
43,llama70bskinny,hipblaslt,1280,32,8192,fp16,T,N,10.994309999999999,31.100987091875474,61.03963231889951,True
44,llama13bskinny,hipblaslt,5120,2,3456,fp16,T,N,12.1816,1.9980632199690693,5.810310632429238,True
45,llama70bskinnybf16,hipblaslt,8192,4,8192,bf16,T,N,31.11888,3.9960975609756098,17.25225689356429,True
46,gpt4memory,hipblaslt,16,16,65536,fp16,N,N,8.72658,7.999023556694739,3.8450838701988634,True
47,llama13bskinnybf16,hipblaslt,5120,32,6912,bf16,T,N,22.2617,31.655598809251202,101.7408445895866,True
48,llama70bmatvecbf16,hipblaslt,16000,1,8192,bf16,T,N,51.43343,0.9998154637474138,5.096762941923181,True
49,llama13bskinnybf16,hipblaslt,15360,8,5120,bf16,T,N,42.49314,7.983367983367984,29.611631430390883,True
50,llama13bskinny,hipblaslt,32000,8,5120,fp16,T,N,113.75431,7.985526233701417,23.04475320539503,True
51,unet,hipblaslt,128,1280,2048,fp16,T,T,19.40033,110.10752688172043,34.591609524167886,True
52,unet,hipblaslt,8192,5120,640,bf16,N,N,120.90181,531.9480519480519,444.05531397751616,True
53,llama70bskinny,hipblaslt,32000,4,8192,fp16,T,N,156.30680999999998,3.9975483785334776,13.4168946317822,True
54,llama70bskinnybf16,hipblaslt,5120,4,8192,bf16,T,N,26.92775,3.9949283136642935,12.460911884580034,True
55,llama13bskinny,hipblaslt,5120,32,1728,fp16,T,N,11.0893,31.2265642647391,51.06102639481302,True
56,llama13bskinny,hipblaslt,3840,4,5120,fp16,T,N,16.78829,3.9927216012477253,9.36881600210623,True
57,llama70bskinnybf16,hipblaslt,32000,16,8192,bf16,T,N,155.13139,15.960846049534736,54.07421412262212,True
58,llama13bskinnybf16,hipblaslt,1920,2,5120,bf16,T,N,14.80551,1.997139513717332,2.6558760893748343,True
59,llama70bskinny,hipblaslt,8192,8,2048,fp16,T,N,10.22257,7.961127308066083,26.25909688072569,True
60,llama70bskinny,hipblaslt,10240,2,8192,fp16,T,N,46.86236,1.9991214798184391,7.160209601052955,True
61,llama13bskinny,hipblaslt,6912,4,5120,fp16,T,N,17.595650000000003,3.9945675730343573,16.090085901913255,True
62,llama70bskinnybf16,hipblaslt,57344,32,8192,bf16,T,N,274.15728,31.857777777777777,109.66249399614703,True
63,llama70bskinnybf16,hipblaslt,7168,8,8192,bf16,T,N,26.89213,7.983293888347487,34.93676759706278,True
64,llama70bskinny,hipblaslt,7168,4,8192,fp16,T,N,26.52407,3.995819106682461,17.71078299823519,True
65,llama70bskinnybf16,hipblaslt,1280,2,8192,bf16,T,N,10.49565,1.9963932348783935,3.996230819434718,True
66,llama13bskinny,hipblaslt,5120,16,1280,fp16,T,N,6.45886,15.753846153846155,32.46938314191669,True
67,llama70bskinny,hipblaslt,2560,16,8192,fp16,T,N,18.73545,15.869817900038745,35.81918982463725,True
68,llama70bskinny,hipblaslt,57344,16,8192,fp16,T,N,281.2454,15.964365256124722,53.44935609969087,True
69,llama13bskinny,hipblaslt,8000,2,5120,fp16,T,N,17.96371,1.9987195702752925,9.120610386161879,True
70,llama70bskinny,hipblaslt,10240,32,8192,fp16,T,N,51.71837,31.77657098525989,103.80661880875209,True
71,llama70bskinnybf16,hipblaslt,1280,16,8192,bf16,T,N,10.83996,15.772044666923373,30.954387285561936,True
72,llama70bskinnybf16,hipblaslt,8192,2,1024,bf16,T,N,6.57759,1.9956151035322778,5.101326169615315,True
