index,tag,name,B,M,N,K1,K2,dtype,mean_microseconds,arithmetic_intensity,tflops,ok
0,llm_sweep,attention_1x1024x64x64x1024xf16,1,1024,64,64,1024,f16,86.0,512.0,3.1213,True
1,llm_sweep,attention_1x1024x128x128x1024xf16,1,1024,128,128,1024,f16,111.0,512.0,4.8367,True
2,llm_sweep,attention_1x2048x64x64x2048xf16,1,2048,64,64,2048,f16,139.0,1024.0,7.7248,True
3,llm_sweep,attention_1x2048x128x128x2048xf16,1,2048,128,128,2048,f16,156.0,1024.0,13.7659,True
4,sdxl_unet_sweep,attention_1x4096x64x64x4096xf16,1,4096,64,64,4096,f16,222.0,2048.0,19.3467,True
5,llm_sweep,attention_1x4096x128x128x4096xf16,1,4096,128,128,4096,f16,246.0,2048.0,34.9184,True
6,llm_sweep,attention_1x8192x64x64x8192xf16,1,8192,64,64,8192,f16,403.0,4096.0,42.6299,True
7,llm_sweep,attention_1x8192x128x128x8192xf16,1,8192,128,128,8192,f16,477.0,4096.0,72.033,True
8,llm_sweep,attention_1x16384x64x64x16384xf16,1,16384,64,64,16384,f16,756.0,8192.0,90.8988,True
9,llm_sweep,attention_1x16384x128x128x16384xf16,1,16384,128,128,16384,f16,940.0,8192.0,146.2117,True
10,sdxl_unet_sweep,attention_2x1024x64x64x1024xf16,2,1024,64,64,1024,f16,90.0,512.0,5.9652,True
11,llm_sweep,attention_2x1024x128x128x1024xf16,2,1024,128,128,1024,f16,106.0,512.0,10.1296,True
12,llm_sweep,attention_2x2048x64x64x2048xf16,2,2048,64,64,2048,f16,137.0,1024.0,15.6751,True
13,llm_sweep,attention_2x2048x128x128x2048xf16,2,2048,128,128,2048,f16,161.0,1024.0,26.6768,True
14,llm_sweep,attention_2x4096x64x64x4096xf16,2,4096,64,64,4096,f16,221.0,2048.0,38.8685,True
15,llm_sweep,attention_2x4096x128x128x4096xf16,2,4096,128,128,4096,f16,261.0,2048.0,65.8233,True
16,llm_sweep,attention_2x8192x64x64x8192xf16,2,8192,64,64,8192,f16,402.0,4096.0,85.472,True
17,llm_sweep,attention_2x8192x128x128x8192xf16,2,8192,128,128,8192,f16,500.0,4096.0,137.439,True
18,llm_sweep,attention_2x16384x64x64x16384xf16,2,16384,64,64,16384,f16,789.0,8192.0,174.1939,True
19,llm_sweep,attention_2x16384x128x128x16384xf16,2,16384,128,128,16384,f16,955.0,8192.0,287.8303,True
20,llm_sweep,attention_4x1024x64x64x1024xf16,4,1024,64,64,1024,f16,96.0,512.0,11.1848,True
21,llm_sweep,attention_4x1024x128x128x1024xf16,4,1024,128,128,1024,f16,110.0,512.0,19.5226,True
22,llm_sweep,attention_4x2048x64x64x2048xf16,4,2048,64,64,2048,f16,141.0,1024.0,30.4608,True
23,llm_sweep,attention_4x2048x128x128x2048xf16,4,2048,128,128,2048,f16,162.0,1024.0,53.0243,True
24,sdxl_unet_sweep,attention_4x4096x64x64x4096xf16,4,4096,64,64,4096,f16,229.0,2048.0,75.0213,True
25,llm_sweep,attention_4x4096x128x128x4096xf16,4,4096,128,128,4096,f16,284.0,2048.0,120.985,True
26,llm_sweep,attention_4x8192x64x64x8192xf16,4,8192,64,64,8192,f16,436.0,4096.0,157.6135,True
27,llm_sweep,attention_4x8192x128x128x8192xf16,4,8192,128,128,8192,f16,513.0,4096.0,267.9122,True
28,llm_sweep,attention_4x16384x64x64x16384xf16,4,16384,64,64,16384,f16,917.0,8192.0,299.7578,True
29,llm_sweep,attention_4x16384x128x128x16384xf16,4,16384,128,128,16384,f16,1920.0,8192.0,286.3312,True
30,sdxl_unet_sweep,attention_8x1024x64x64x1024xf16,8,1024,64,64,1024,f16,99.0,512.0,21.6918,True
31,llm_sweep,attention_8x1024x128x128x1024xf16,8,1024,128,128,1024,f16,111.0,512.0,38.6934,True
32,llm_sweep,attention_8x2048x64x64x2048xf16,8,2048,64,64,2048,f16,140.0,1024.0,61.3567,True
33,llm_sweep,attention_8x2048x128x128x2048xf16,8,2048,128,128,2048,f16,167.0,1024.0,102.8735,True
34,llm_sweep,attention_8x4096x64x64x4096xf16,8,4096,64,64,4096,f16,226.0,2048.0,152.0342,True
35,llm_sweep,attention_8x4096x128x128x4096xf16,8,4096,128,128,4096,f16,285.0,2048.0,241.121,True
36,llm_sweep,attention_8x8192x64x64x8192xf16,8,8192,64,64,8192,f16,487.0,4096.0,282.2155,True
37,llm_sweep,attention_8x8192x128x128x8192xf16,8,8192,128,128,8192,f16,962.0,4096.0,285.7359,True
38,llm_sweep,attention_8x16384x64x64x16384xf16,8,16384,64,64,16384,f16,1830.0,8192.0,300.413,True
39,llm_sweep,attention_8x16384x128x128x16384xf16,8,16384,128,128,16384,f16,3760.0,8192.0,292.4233,True
40,llm_sweep,attention_16x1024x64x64x1024xf16,16,1024,64,64,1024,f16,101.0,512.0,42.5244,True
41,llm_sweep,attention_16x1024x128x128x1024xf16,16,1024,128,128,1024,f16,115.0,512.0,74.6951,True
42,llm_sweep,attention_16x2048x64x64x2048xf16,16,2048,64,64,2048,f16,151.0,1024.0,113.774,True
43,llm_sweep,attention_16x2048x128x128x2048xf16,16,2048,128,128,2048,f16,164.0,1024.0,209.5106,True
44,llm_sweep,attention_16x4096x64x64x4096xf16,16,4096,64,64,4096,f16,280.0,2048.0,245.4267,True
45,llm_sweep,attention_16x4096x128x128x4096xf16,16,4096,128,128,4096,f16,515.0,2048.0,266.8718,True
46,llm_sweep,attention_16x8192x64x64x8192xf16,16,8192,64,64,8192,f16,937.0,4096.0,293.3596,True
47,llm_sweep,attention_16x8192x128x128x8192xf16,16,8192,128,128,8192,f16,1930.0,4096.0,284.8476,True
48,llm_sweep,attention_16x16384x64x64x16384xf16,16,16384,64,64,16384,f16,3370.0,8192.0,326.2646,True
49,llm_sweep,attention_16x16384x128x128x16384xf16,16,16384,128,128,16384,f16,6570.0,8192.0,334.7067,True
50,llm_sweep,attention_32x1024x64x64x1024xf16,32,1024,64,64,1024,f16,100.0,512.0,85.8993,True
51,llm_sweep,attention_32x1024x128x128x1024xf16,32,1024,128,128,1024,f16,115.0,512.0,149.3902,True
52,llm_sweep,attention_32x2048x64x64x2048xf16,32,2048,64,64,2048,f16,167.0,1024.0,205.7469,True
53,llm_sweep,attention_32x2048x128x128x2048xf16,32,2048,128,128,2048,f16,293.0,1024.0,234.5375,True
54,llm_sweep,attention_32x4096x64x64x4096xf16,32,4096,64,64,4096,f16,499.0,2048.0,275.4288,True
55,llm_sweep,attention_32x4096x128x128x4096xf16,32,4096,128,128,4096,f16,958.0,2048.0,286.9289,True
56,llm_sweep,attention_32x8192x64x64x8192xf16,32,8192,64,64,8192,f16,1730.0,4096.0,317.7779,True
57,llm_sweep,attention_32x8192x128x128x8192xf16,32,8192,128,128,8192,f16,3350.0,4096.0,328.2124,True
58,llm_sweep,attention_32x16384x64x64x16384xf16,32,16384,64,64,16384,f16,6440.0,8192.0,341.4632,True
59,llm_sweep,attention_32x16384x128x128x16384xf16,32,16384,128,128,16384,f16,13200.0,8192.0,333.1853,True
60,llm_sweep,attention_48x1024x64x64x1024xf16,48,1024,64,64,1024,f16,113.0,512.0,114.0257,True
61,llm_sweep,attention_48x1024x128x128x1024xf16,48,1024,128,128,1024,f16,178.0,512.0,144.7742,True
62,llm_sweep,attention_48x2048x64x64x2048xf16,48,2048,64,64,2048,f16,250.0,1024.0,206.1584,True
63,llm_sweep,attention_48x2048x128x128x2048xf16,48,2048,128,128,2048,f16,416.0,1024.0,247.7866,True
64,llm_sweep,attention_48x4096x64x64x4096xf16,48,4096,64,64,4096,f16,704.0,2048.0,292.8387,True
65,llm_sweep,attention_48x4096x128x128x4096xf16,48,4096,128,128,4096,f16,1440.0,2048.0,286.3312,True
66,llm_sweep,attention_48x8192x64x64x8192xf16,48,8192,64,64,8192,f16,2630.0,4096.0,313.5489,True
67,llm_sweep,attention_48x8192x128x128x8192xf16,48,8192,128,128,8192,f16,5240.0,4096.0,314.7457,True
68,llm_sweep,attention_48x16384x64x64x16384xf16,48,16384,64,64,16384,f16,9600.0,8192.0,343.5974,True
69,llm_sweep,attention_48x16384x128x128x16384xf16,48,16384,128,128,16384,f16,19600.0,8192.0,336.5852,True
70,llm_sweep,attention_64x1024x64x64x1024xf16,64,1024,64,64,1024,f16,115.0,512.0,149.3902,True
71,llm_sweep,attention_64x1024x128x128x1024xf16,64,1024,128,128,1024,f16,180.0,512.0,190.8874,True
72,llm_sweep,attention_64x2048x64x64x2048xf16,64,2048,64,64,2048,f16,284.0,1024.0,241.97,True
73,llm_sweep,attention_64x2048x128x128x2048xf16,64,2048,128,128,2048,f16,521.0,1024.0,263.7984,True
74,llm_sweep,attention_64x4096x64x64x4096xf16,64,4096,64,64,4096,f16,885.0,2048.0,310.5965,True
75,llm_sweep,attention_64x4096x128x128x4096xf16,64,4096,128,128,4096,f16,1750.0,2048.0,314.1462,True
76,llm_sweep,attention_64x8192x64x64x8192xf16,64,8192,64,64,8192,f16,3290.0,4096.0,334.1981,True
77,llm_sweep,attention_64x8192x128x128x8192xf16,64,8192,128,128,8192,f16,6900.0,4096.0,318.699,True
78,llm_sweep,attention_64x16384x64x64x16384xf16,64,16384,64,64,16384,f16,12600.0,8192.0,349.0513,True
79,llm_sweep,attention_64x16384x128x128x16384xf16,64,16384,128,128,16384,f16,25300.0,8192.0,347.6717,True
80,llm_sweep,attention_96x1024x64x64x1024xf16,96,1024,64,64,1024,f16,161.0,512.0,160.0609,True
81,llm_sweep,attention_96x1024x128x128x1024xf16,96,1024,128,128,1024,f16,237.0,512.0,217.4667,True
82,llm_sweep,attention_96x2048x64x64x2048xf16,96,2048,64,64,2048,f16,400.0,1024.0,257.698,True
83,llm_sweep,attention_96x2048x128x128x2048xf16,96,2048,128,128,2048,f16,764.0,1024.0,269.8409,True
84,llm_sweep,attention_96x4096x64x64x4096xf16,96,4096,64,64,4096,f16,1330.0,2048.0,310.0127,True
85,llm_sweep,attention_96x4096x128x128x4096xf16,96,4096,128,128,4096,f16,2770.0,2048.0,297.7017,True
86,llm_sweep,attention_96x8192x64x64x8192xf16,96,8192,64,64,8192,f16,4940.0,4096.0,333.8598,True
87,llm_sweep,attention_96x8192x128x128x8192xf16,96,8192,128,128,8192,f16,10100.0,4096.0,326.5876,True
88,llm_sweep,attention_96x16384x64x64x16384xf16,96,16384,64,64,16384,f16,18600.0,8192.0,354.6812,True
