index,tag,name,B,H,W,C,P,Q,F,S,input_dtype,output_dtype,mean_microseconds,arithmetic_intensity,tflops,ok
0,resnet_sweep,conv_2d_nchw_fchw_1x112x112x64x7x7x3_f32xf32xf32_stride2,1,112,112,64,7,7,3,2,f32,f32,247.0,17.19,0.9556,True
1,resnet_sweep,conv_2d_nchw_fchw_1x56x56x64x3x3x64_f32xf32xf32_stride1,1,56,56,64,3,3,64,1,f32,f32,105.0,127.6382,2.202,True
2,resnet_sweep,conv_2d_nchw_fchw_1x28x28x128x3x3x128_f32xf32xf32_stride2,1,28,28,128,3,3,128,2,f32,f32,90.0,85.2045,2.569,True
3,resnet_sweep,conv_2d_nchw_fchw_1x28x28x512x1x1x256_f32xf32xf32_stride2,1,28,28,512,1,1,256,2,f32,f32,157.0,26.5201,1.3091,True
4,resnet_sweep,conv_2d_nchw_fchw_1x28x28x128x3x3x128_f32xf32xf32_stride1,1,28,28,128,3,3,128,1,f32,f32,98.0,159.2327,2.3593,True
5,resnet_sweep,conv_2d_nchw_fchw_1x14x14x256x3x3x256_f32xf32xf32_stride2,1,14,14,256,3,3,256,2,f32,f32,137.0,66.4094,1.6877,True
6,resnet_sweep,conv_2d_nchw_fchw_1x14x14x1024x1x1x512_f32xf32xf32_stride2,1,14,14,1024,1,1,512,2,f32,f32,229.0,35.9943,0.8975,True
7,resnet_sweep,conv_2d_nchw_fchw_1x14x14x256x3x3x256_f32xf32xf32_stride1,1,14,14,256,3,3,256,1,f32,f32,138.0,81.9274,1.6754,True
8,resnet_sweep,conv_2d_nchw_fchw_1x7x7x512x3x3x512_f32xf32xf32_stride2,1,7,7,512,3,3,512,2,f32,f32,224.0,22.979,1.0322,True
9,resnet_sweep,conv_2d_nchw_fchw_1x7x7x2048x1x1x1024_f32xf32xf32_stride2,1,7,7,2048,1,1,1024,2,f32,f32,428.0,20.1591,0.4802,True
10,resnet_sweep,conv_2d_nchw_fchw_1x7x7x512x3x3x512_f32xf32xf32_stride1,1,7,7,512,3,3,512,1,f32,f32,229.0,23.8278,1.0097,True
11,resnet_sweep,conv_2d_nchw_fchw_2x112x112x64x7x7x3_f32xf32xf32_stride2,2,112,112,64,7,7,3,2,f32,f32,252.0,17.2136,1.8732,True
12,resnet_sweep,conv_2d_nchw_fchw_2x56x56x64x3x3x64_f32xf32xf32_stride1,2,56,56,64,3,3,64,1,f32,f32,105.0,133.0536,4.404,True
13,resnet_sweep,conv_2d_nchw_fchw_2x28x28x128x3x3x128_f32xf32xf32_stride2,2,28,28,128,3,3,128,2,f32,f32,134.0,95.5936,3.4509,True
14,resnet_sweep,conv_2d_nchw_fchw_2x28x28x512x1x1x256_f32xf32xf32_stride2,2,28,28,512,1,1,256,2,f32,f32,226.0,27.4486,1.8188,True
15,resnet_sweep,conv_2d_nchw_fchw_2x28x28x128x3x3x128_f32xf32xf32_stride1,2,28,28,128,3,3,128,1,f32,f32,142.0,199.8159,3.2565,True
16,resnet_sweep,conv_2d_nchw_fchw_2x14x14x256x3x3x256_f32xf32xf32_stride2,2,14,14,256,3,3,256,2,f32,f32,212.0,100.4413,2.1812,True
