index,tag,name,vmfb_hash,M,N,K,dtype,tA,tB,mean_microseconds,arithmetic_intensity,tflops,ok
0,llama13bmatvec,gemm_32000_1_5120_f16_f32_tA,fbb5b8d4a4dca1e3f5ab736722bf9cf8,32000,1,5120,f16,T,N,2490.0,0.9998,0.1316,True
1,llama13bmatvec,gemm_15360_1_5120_f16_f32_tA,489def105a8fee6f2a48054617a7bc8b,15360,1,5120,f16,T,N,1140.0,0.9997,0.138,True
2,llama13bmatvec,gemm_5120_1_5120_f16_f32_tA,d712725c5b0bb7858029ea1ad67bc34e,5120,1,5120,f16,T,N,311.0,0.9996,0.1686,True
3,llama13bmatvec,gemm_27648_1_5120_f16_f32_tA,7d80267b19c1002d8b55c301cc1e5d5d,27648,1,5120,f16,T,N,2080.0,0.9998,0.1361,True
4,llama13bmatvec,gemm_5120_1_13824_f16_f32_tA,f83a330f7db5226c85880796c9e21581,5120,1,13824,f16,T,N,987.0,0.9997,0.1434,True
5,llama13bmatvec,gemm_16000_1_5120_f16_f32_tA,c77ee69a10771ccef29910d7c95cac39,16000,1,5120,f16,T,N,1310.0,0.9997,0.1251,True
6,llama13bmatvec,gemm_7680_1_5120_f16_f32_tA,1b0cd7252cbfd4ad99b3cad8882a8ea0,7680,1,5120,f16,T,N,505.0,0.9997,0.1557,True
7,llama13bmatvec,gemm_5120_1_2560_f16_f32_tA,a6cafb35cf1908dd4504d71339cac8ac,5120,1,2560,f16,T,N,173.0,0.9994,0.1515,True
8,llama13bmatvec,gemm_13824_1_5120_f16_f32_tA,26d4186f786e37ccb3322992e2e1dea4,13824,1,5120,f16,T,N,998.0,0.9997,0.1418,True
9,llama13bmatvec,gemm_5120_1_6912_f16_f32_tA,ef76b408fa5db6e58d6bd071aeb7386f,5120,1,6912,f16,T,N,411.0,0.9997,0.1722,True
10,llama13bmatvec,gemm_8000_1_5120_f16_f32_tA,5a03ca798a759cf5a5d9b78848a4274d,8000,1,5120,f16,T,N,509.0,0.9997,0.1609,True
11,llama13bmatvec,gemm_3840_1_5120_f16_f32_tA,889c817adb3f07435c659d6129ebd99f,3840,1,5120,f16,T,N,223.0,0.9995,0.1763,True
12,llama13bmatvec,gemm_5120_1_1280_f16_f32_tA,6be378d5999f63cc9c9c770b922ff59e,5120,1,1280,f16,T,N,99.0,0.999,0.1324,True
13,llama13bmatvec,gemm_6912_1_5120_f16_f32_tA,abaeca114dab7e75d9d135879dc9f27e,6912,1,5120,f16,T,N,447.0,0.9997,0.1583,True
14,llama13bmatvec,gemm_5120_1_3456_f16_f32_tA,ea2e28ef906d6180a9989b66f734e842,5120,1,3456,f16,T,N,206.0,0.9995,0.1718,True
15,llama13bmatvec,gemm_4000_1_5120_f16_f32_tA,78b3e4921b5a0e5eb40bfeedc512c19b,4000,1,5120,f16,T,N,189.0,0.9996,0.2167,True
