index,tag,name,B,M,N,K1,K2,dtype,mean_microseconds,arithmetic_intensity,tflops,ok
0,llm_sweep,attention_1x1024x64x64x1024xf16,1,1024,64,64,1024,f16,89.407,512.0,3.0024,True
1,llm_sweep,attention_1x1024x128x128x1024xf16,1,1024,128,128,1024,f16,216.0867,512.0,2.4845,True
2,llm_sweep,attention_1x2048x64x64x2048xf16,1,2048,64,64,2048,f16,142.8127,1024.0,7.5185,True
3,llm_sweep,attention_1x2048x128x128x2048xf16,1,2048,128,128,2048,f16,215.6099,1024.0,9.96,True
4,sdxl_unet_sweep,attention_1x4096x64x64x4096xf16,1,4096,64,64,4096,f16,265.1215,2048.0,16.2,True
5,llm_sweep,attention_1x4096x128x128x4096xf16,1,4096,128,128,4096,f16,298.0232,2048.0,28.823,True
6,llm_sweep,attention_1x8192x64x64x8192xf16,1,8192,64,64,8192,f16,413.9741,4096.0,41.4999,True
7,llm_sweep,attention_1x8192x128x128x8192xf16,1,8192,128,128,8192,f16,967.5821,4096.0,35.5109,True
8,llm_sweep,attention_1x16384x64x64x16384xf16,1,16384,64,64,16384,f16,782.8077,8192.0,87.7859,True
9,llm_sweep,attention_1x16384x128x128x16384xf16,1,16384,128,128,16384,f16,1716.3754,8192.0,80.0751,True
10,sdxl_unet_sweep,attention_2x1024x64x64x1024xf16,2,1024,64,64,1024,f16,70.0951,512.0,7.6592,True
11,llm_sweep,attention_2x1024x128x128x1024xf16,2,1024,128,128,1024,f16,219.9809,512.0,4.8811,True
12,llm_sweep,attention_2x2048x64x64x2048xf16,2,2048,64,64,2048,f16,146.4685,1024.0,14.6617,True
13,llm_sweep,attention_2x2048x128x128x2048xf16,2,2048,128,128,2048,f16,154.3363,1024.0,27.8286,True
14,llm_sweep,attention_2x4096x64x64x4096xf16,2,4096,64,64,4096,f16,236.2728,2048.0,36.356,True
15,llm_sweep,attention_2x4096x128x128x4096xf16,2,4096,128,128,4096,f16,247.399,2048.0,69.4419,True
16,llm_sweep,attention_2x8192x64x64x8192xf16,2,8192,64,64,8192,f16,417.5504,4096.0,82.2888,True
17,llm_sweep,attention_2x8192x128x128x8192xf16,2,8192,128,128,8192,f16,995.7949,4096.0,69.0097,True
18,llm_sweep,attention_2x16384x64x64x16384xf16,2,16384,64,64,16384,f16,868.7178,8192.0,158.209,True
19,llm_sweep,attention_2x16384x128x128x16384xf16,2,16384,128,128,16384,f16,1606.3849,8192.0,171.1158,True
20,llm_sweep,attention_4x1024x64x64x1024xf16,4,1024,64,64,1024,f16,69.3003,512.0,15.494,True
21,llm_sweep,attention_4x1024x128x128x1024xf16,4,1024,128,128,1024,f16,134.1502,512.0,16.0081,True
22,llm_sweep,attention_4x2048x64x64x2048xf16,4,2048,64,64,2048,f16,150.4421,1024.0,28.549,True
23,llm_sweep,attention_4x2048x128x128x2048xf16,4,2048,128,128,2048,f16,263.1346,1024.0,32.6446,True
24,sdxl_unet_sweep,attention_4x4096x64x64x4096xf16,4,4096,64,64,4096,f16,237.0675,2048.0,72.4682,True
25,llm_sweep,attention_4x4096x128x128x4096xf16,4,4096,128,128,4096,f16,317.7325,2048.0,108.1405,True
26,llm_sweep,attention_4x8192x64x64x8192xf16,4,8192,64,64,8192,f16,474.453,4096.0,144.8394,True
27,llm_sweep,attention_4x8192x128x128x8192xf16,4,8192,128,128,8192,f16,1047.6907,4096.0,131.1828,True
28,llm_sweep,attention_4x16384x64x64x16384xf16,4,16384,64,64,16384,f16,1042.0481,8192.0,263.7862,True
29,llm_sweep,attention_4x16384x128x128x16384xf16,4,16384,128,128,16384,f16,1700.6397,8192.0,323.2641,True
30,sdxl_unet_sweep,attention_8x1024x64x64x1024xf16,8,1024,64,64,1024,f16,74.0687,512.0,28.9931,True
31,llm_sweep,attention_8x1024x128x128x1024xf16,8,1024,128,128,1024,f16,90.9964,512.0,47.1993,True
32,llm_sweep,attention_8x2048x64x64x2048xf16,8,2048,64,64,2048,f16,139.2365,1024.0,61.6931,True
33,llm_sweep,attention_8x2048x128x128x2048xf16,8,2048,128,128,2048,f16,263.1346,1024.0,65.2893,True
34,llm_sweep,attention_8x4096x64x64x4096xf16,8,4096,64,64,4096,f16,309.7852,2048.0,110.9147,True
35,llm_sweep,attention_8x4096x128x128x4096xf16,8,4096,128,128,4096,f16,381.9466,2048.0,179.9191,True
36,llm_sweep,attention_8x8192x64x64x8192xf16,8,8192,64,64,8192,f16,497.1027,4096.0,276.48,True
37,llm_sweep,attention_8x8192x128x128x8192xf16,8,8192,128,128,8192,f16,1053.5717,4096.0,260.901,True
38,llm_sweep,attention_8x16384x64x64x16384xf16,8,16384,64,64,16384,f16,1767.4764,8192.0,311.04,True
39,llm_sweep,attention_8x16384x128x128x16384xf16,8,16384,128,128,16384,f16,3494.978,8192.0,314.5976,True
40,llm_sweep,attention_16x1024x64x64x1024xf16,16,1024,64,64,1024,f16,98.9437,512.0,43.4082,True
41,llm_sweep,attention_16x1024x128x128x1024xf16,16,1024,128,128,1024,f16,256.8563,512.0,33.4426,True
42,llm_sweep,attention_16x2048x64x64x2048xf16,16,2048,64,64,2048,f16,172.9329,1024.0,99.3441,True
43,llm_sweep,attention_16x2048x128x128x2048xf16,16,2048,128,128,2048,f16,303.9837,1024.0,113.0315,True
44,llm_sweep,attention_16x4096x64x64x4096xf16,16,4096,64,64,4096,f16,368.913,2048.0,186.2756,True
45,llm_sweep,attention_16x4096x128x128x4096xf16,16,4096,128,128,4096,f16,826.6767,2048.0,166.2548,True
46,llm_sweep,attention_16x8192x64x64x8192xf16,16,8192,64,64,8192,f16,1070.5789,4096.0,256.7563,True
47,llm_sweep,attention_16x8192x128x128x8192xf16,16,8192,128,128,8192,f16,2206.405,4096.0,249.1636,True
48,llm_sweep,attention_16x16384x64x64x16384xf16,16,16384,64,64,16384,f16,3439.188,8192.0,319.7009,True
49,llm_sweep,attention_16x16384x128x128x16384xf16,16,16384,128,128,16384,f16,6432.2948,8192.0,341.8723,True
50,llm_sweep,attention_32x1024x64x64x1024xf16,32,1024,64,64,1024,f16,160.3762,512.0,53.5611,True
51,llm_sweep,attention_32x1024x128x128x1024xf16,32,1024,128,128,1024,f16,199.0795,512.0,86.2965,True
52,llm_sweep,attention_32x2048x64x64x2048xf16,32,2048,64,64,2048,f16,303.9837,1024.0,113.0315,True
53,llm_sweep,attention_32x2048x128x128x2048xf16,32,2048,128,128,2048,f16,480.8108,1024.0,142.9242,True
54,llm_sweep,attention_32x4096x64x64x4096xf16,32,4096,64,64,4096,f16,797.5101,2048.0,172.3351,True
55,llm_sweep,attention_32x4096x128x128x4096xf16,32,4096,128,128,4096,f16,1336.4951,2048.0,205.6707,True
56,llm_sweep,attention_32x8192x64x64x8192xf16,32,8192,64,64,8192,f16,2049.2872,4096.0,268.2669,True
57,llm_sweep,attention_32x8192x128x128x8192xf16,32,8192,128,128,8192,f16,3786.6433,4096.0,290.3658,True
58,llm_sweep,attention_32x16384x64x64x16384xf16,32,16384,64,64,16384,f16,6245.5336,8192.0,352.0953,True
59,llm_sweep,attention_32x16384x128x128x16384xf16,32,16384,128,128,16384,f16,11594.216,8192.0,379.3311,True
60,llm_sweep,attention_48x1024x64x64x1024xf16,48,1024,64,64,1024,f16,202.6558,512.0,63.5802,True
61,llm_sweep,attention_48x1024x128x128x1024xf16,48,1024,128,128,1024,f16,299.2153,512.0,86.1246,True
62,llm_sweep,attention_48x2048x64x64x2048xf16,48,2048,64,64,2048,f16,348.6474,1024.0,147.8273,True
63,llm_sweep,attention_48x2048x128x128x2048xf16,48,2048,128,128,2048,f16,674.8041,1024.0,152.7543,True
64,llm_sweep,attention_48x4096x64x64x4096xf16,48,4096,64,64,4096,f16,1171.43,2048.0,175.9887,True
65,llm_sweep,attention_48x4096x128x128x4096xf16,48,4096,128,128,4096,f16,1433.0546,2048.0,287.7189,True
66,llm_sweep,attention_48x8192x64x64x8192xf16,48,8192,64,64,8192,f16,2745.8668,4096.0,300.3182,True
67,llm_sweep,attention_48x8192x128x128x8192xf16,48,8192,128,128,8192,f16,4853.646,4096.0,339.7997,True
68,llm_sweep,attention_48x16384x64x64x16384xf16,48,16384,64,64,16384,f16,8749.1671,8192.0,377.0113,True
69,llm_sweep,attention_48x16384x128x128x16384xf16,48,16384,128,128,16384,f16,15755.3355,8192.0,418.7197,True
70,llm_sweep,attention_64x1024x64x64x1024xf16,64,1024,64,64,1024,f16,98.149,512.0,175.0387,True
71,llm_sweep,attention_64x1024x128x128x1024xf16,64,1024,128,128,1024,f16,148.4553,512.0,231.4484,True
72,llm_sweep,attention_64x2048x64x64x2048xf16,64,2048,64,64,2048,f16,227.1334,1024.0,302.5511,True
73,llm_sweep,attention_64x2048x128x128x2048xf16,64,2048,128,128,2048,f16,495.1159,1024.0,277.5894,True
74,llm_sweep,attention_64x4096x64x64x4096xf16,64,4096,64,64,4096,f16,827.5509,2048.0,332.1583,True
