mean_microseconds,tflops,index,tag,name,B,M,N,K1,K2,arithmetic_intensity,dtype,ok
37.877824157476425,7.086876344427389,0,llm,attention_1x1024x64x64x1024xf16,1,1024,64,64,1024,512.0,fp16,True
66.32430106401443,8.094633541359547,1,llm,attention_1x1024x128x128x1024xf16,1,1024,128,128,1024,512.0,fp16,True
61.402663588523865,17.486893259149785,2,llm,attention_1x2048x64x64x2048xf16,1,2048,64,64,2048,1024.0,fp16,True
117.76644736528397,18.235105974955736,3,llm,attention_1x2048x128x128x2048xf16,1,2048,128,128,2048,1024.0,fp16,True
112.26487159729004,38.25744629545967,4,sdxl_unet,attention_1x4096x64x64x4096xf16,1,4096,64,64,4096,2048.0,fp16,True
216.2102609872818,39.729541756139355,5,llm,attention_1x4096x128x128x4096xf16,1,4096,128,128,4096,2048.0,fp16,True
212.79659867286682,80.73375839249522,6,llm,attention_1x8192x64x64x8192xf16,1,8192,64,64,8192,4096.0,fp16,True
417.299747467041,82.33826781961757,7,llm,attention_1x8192x128x128x8192xf16,1,8192,128,128,8192,4096.0,fp16,True
421.5191602706909,163.02812116979393,8,llm,attention_1x16384x64x64x16384xf16,1,16384,64,64,16384,8192.0,fp16,True
829.1581869125366,165.75721694767236,9,llm,attention_1x16384x128x128x16384xf16,1,16384,128,128,16384,8192.0,fp16,True
36.46612912416458,14.722454093550557,10,sdxl_unet,attention_2x1024x64x64x1024xf16,2,1024,64,64,1024,512.0,fp16,True
65.99799543619156,16.269309649535025,11,llm,attention_2x1024x128x128x1024xf16,2,1024,128,128,1024,512.0,fp16,True
61.655428260564804,34.83040680415716,12,llm,attention_2x2048x64x64x2048xf16,2,2048,64,64,2048,1024.0,fp16,True
117.77673661708832,36.467025826701665,13,llm,attention_2x2048x128x128x2048xf16,2,2048,128,128,2048,1024.0,fp16,True
111.70153319835663,76.90077607749771,14,llm,attention_2x4096x64x64x4096xf16,2,4096,64,64,4096,2048.0,fp16,True
