M,N,K,Alpha,Beta,Transpose A,Transpose B,A Type,B Type,C Type,D Type,Batch Count,Iterations,,Subworkload,Unique Name,GEMM Performance (TFLOPs),Kernel Time (us),id
8192,1,3584,1,0,T,N,f8_r,f8_r,bf16_r,bf16_r,1,100000,GEMM Performance (TFLOPs),70b_fp8,70b_fp80,7.1687,8.1912,8192_1_3584_1_T_N
8192,1,1024,1,0,T,N,f8_r,f8_r,bf16_r,bf16_r,1,136422,GEMM Performance (TFLOPs),70b_fp8,70b_fp81,2.7599,6.0789,8192_1_1024_1_T_N
8192,2048,1024,1,0,T,N,f8_r,f8_r,bf16_r,bf16_r,1,56749,GEMM Performance (TFLOPs),70b_fp8,70b_fp810,2096.734,16.3873,8192_2048_1024_1_T_N
1280,2048,8192,1,0,T,N,f8_r,f8_r,bf16_r,bf16_r,1,49126,GEMM Performance (TFLOPs),70b_fp8,70b_fp811,2137.657,20.0919,1280_2048_8192_1_T_N
8192,16384,3584,1,0,T,N,f8_r,f8_r,bf16_r,bf16_r,1,2469,GEMM Performance (TFLOPs),70b_fp8,70b_fp812,2752.34,349.5472,8192_16384_3584_1_T_N
7168,16384,8192,1,0,T,N,f8_r,f8_r,bf16_r,bf16_r,1,1199,GEMM Performance (TFLOPs),70b_fp8,70b_fp813,2746.783,700.5086,7168_16384_8192_1_T_N
8192,16384,1024,1,0,T,N,f8_r,f8_r,bf16_r,bf16_r,1,8500,GEMM Performance (TFLOPs),70b_fp8,70b_fp814,2322.246,118.3673,8192_16384_1024_1_T_N
1280,16384,8192,1,0,T,N,f8_r,f8_r,bf16_r,bf16_r,1,6290,GEMM Performance (TFLOPs),70b_fp8,70b_fp815,2368.07,145.096,1280_16384_8192_1_T_N
7168,1,8192,1,0,T,N,f8_r,f8_r,bf16_r,bf16_r,1,74878,GEMM Performance (TFLOPs),70b_fp8,70b_fp82,10.4671,11.22,7168_1_8192_1_T_N
1280,1,8192,1,0,T,N,f8_r,f8_r,bf16_r,bf16_r,1,67834,GEMM Performance (TFLOPs),70b_fp8,70b_fp83,1.7114,12.2542,1280_1_8192_1_T_N
